p
971
idx PDG vx vy vz vt px py pz
246 22 -254.991 -283.977 1535 313.394 -0.97244 -0.0916851 4.33651
247 2112 160.068 -131.993 1535 28.7902 0.547515 -13.1796 190.328
248 22 -74.4612 -253.635 1535 7.06429 -0.262037 -0.714091 4.45472
249 2112 -147.813 -50.6373 1535 16.1168 -28.4778 -10.2517 352.981
250 2112 -59.5425 -75.9812 1535 16.5776 -17.2155 -16.9743 346.798
251 22 107.834 64.7695 1535 6.57103 -0.0237356 0.219492 0.832851
252 2112 31.4322 121.544 1535 17.0202 18.8652 41.0482 326.169
253 2112 -194.782 -24.2989 1535 32.4028 -17.1622 -3.19449 155.408
254 2112 -145.434 -219.462 1535 16.146 -23.0971 -52.3507 349.509
255 2112 271.821 -31.4518 1535 20.6777 50.3894 -8.81381 259.376
256 2112 -288.031 -228.976 1535 63.8524 -11.0722 -1.76559 69.5785
257 2112 -137.06 167.45 1535 42.0241 -12.2044 16.5509 119.616
258 22 284.906 -20.0639 1535 6.51804 0.84415 -0.218709 5.65863
259 22 -120.161 -247.28 1535 7.08059 -0.363634 -1.18599 6.26236
260 22 263.218 9.93002 1535 7.32447 0.00706251 -0.00324058 0.0297232
261 22 -195.079 -92.1461 1535 7.07622 -0.559486 -0.239155 4.48845
262 22 96.8888 241.48 1535 6.64192 0.766617 1.4931 8.43991
263 2112 192.982 -177.345 1535 26.7027 20.3944 -21.0966 194.191
264 2112 -9.25241 -154.624 1535 26.4069 -8.54149 -27.0329 197.127
265 2112 51.4129 194.537 1535 17.4765 8.78875 50.152 318.533
266 22 -6.36902 248.781 1535 6.8306 -0.258621 1.1028 6.1809
267 22 176.192 -22.9958 1535 69.2964 0.191354 0.243838 2.8801
268 2112 -273.391 -56.7144 1535 20.2763 -74.0561 -9.7061 264.733
269 2112 -121.736 186.288 1535 18.8771 -22.9466 33.0466 289.996
270 22 34.583 143.221 1535 6.85589 0.00774324 0.030876 0.338028
271 22 -241.564 -63.423 1535 11.8377 -0.0494216 0.0558686 0.660309
272 2112 -72.3157 227.349 1535 125234 -0.00183 0.0030778 0.0387788
273 2112 50.4646 -5.56484 1535 20.5749 15.8913 3.07669 263.023
274 22 188.626 -164.33 1535 8.04442 0.00392476 -0.00560315 0.0316906
275 2112 -148.148 -107.688 1535 26.6011 -4.49868 -22.3517 197.8
276 2112 -42.5472 124.734 1535 19.0222 -0.978071 26.0991 293.979
277 22 -28.9624 269.08 1535 6.558 0.0340941 0.655917 4.39706
278 22 -150.271 -148.702 1535 6.9376 -0.640092 -0.479163 5.35849
279 2112 131.892 -237.747 1535 34.6352 22.1366 -37.8846 136.061
